identifier	classic_refs	kind	defined_in
bashPPPanicState	1	type	bashpp_panic.go
bashPPPanicHalts	1	runner-method	bashpp_panic.go
bashPPNativeExitStatus	1	runner-method	bashpp_native_exit.go
bashPPLogicalDepth	1	runner-field	api.go
bashPPLockLogicalOutput	1	runner-method	bashpp_concurrency.go
bashPPInterfaceValue	1	type	bashpp_interface.go
bashPPIncDec	1	runner-method	bashpp_p1.go
bashPPImport	1	runner-method	bashpp_import.go
bashPPIf	1	runner-method	bashpp_p1.go
bashPPHandleProvenance	1	type	bashpp_concurrency.go
bashPPGotoStmt	1	runner-method	bashpp_p1.go
bashPPGoSourceRegisterTypes	1	runner-method	gosource_type_registry.go
bashPPGo	1	runner-method	bashpp_concurrency.go
bashPPFuncNest	1	runner-method	bashpp_eval.go
bashPPFuncDecl	1	runner-method	bashpp_func.go
bashPPForAssign	1	runner-method	bashpp_p1.go
bashPPFor	1	runner-method	bashpp_p1.go
bashPPFIFOEntry	1	type	bashpp_fifo.go
bashPPFIFOCloser	1	runner-method	bashpp_fifo.go
bashPPDirectChannel	1	runner-method	bashpp_p1.go
bashPPDeferred	1	type	bashpp_func.go
bashPPDeferStmt	1	runner-method	bashpp_func.go
bashPPDecoratorFailSeq	1	runner-field	api.go
bashPPDecoratorChain	1	type	bashpp_decorator.go
bashPPDeclare	1	runner-method	bashpp_p1.go
bashPPConstGroup	1	runner-method	bashpp_const.go
bashPPConcurrency	1	runner-method	bashpp_concurrency.go
bashPPCommandCall	1	runner-method	bashpp_p1.go
bashPPClose	1	runner-method	bashpp_concurrency.go
bashPPCallInterfaces	1	runner-field	api.go
bashPPCallDecorated	1	runner-method	bashpp_decorator.go
bashPPCallChannels	1	runner-field	api.go
bashPPCallCells	1	runner-field	api.go
bashPPCall	1	runner-method	bashpp_p1.go
bashPPBranchStmt	1	runner-method	bashpp_p1.go
bashPPBranchKind	1	type	bashpp_p1.go
bashPPBindSwitch	1	runner-method	bashpp_generic_body.go
bashPPBindShortDecl	1	runner-method	bashpp_generic_body.go
bashPPBindReturn	1	runner-method	bashpp_generic_body.go
bashPPBindDecl	1	runner-method	bashpp_generic_body.go
bashPPBindConstGroup	1	runner-method	bashpp_generic_body.go
bashPPBindCallNode	1	runner-method	bashpp_generic_body.go
bashPPBindAssign	1	runner-method	bashpp_generic_body.go
bashPPAssign	1	runner-method	bashpp_readonly.go
bashPPAgenticCallError	1	runner-method	bashpp_agentic.go
GoSourceTestingSession	1	type	gosource_testing.go
BashPPValidIdent	1	unknown	
BashPPUpdate	1	unknown	
BashPPTypeExpr	1	unknown	
BashPPSwitch	1	unknown	
BashPPShortDecl	1	unknown	
BashPPSend	1	unknown	
BashPPSelect	1	unknown	
BashPPReceive	1	unknown	
BashPPRange	1	unknown	
