root	mode	group	vs_2026_09_17	first_line
testdir:chan/fifo.go	interpreted	G6-runtime-one-offs	new	bad receive
testdir:chan/nonblock.go	interpreted	G2-interpreter-speed	new	command exceeded time limit
testdir:chan/select3.go	interpreted	G2-interpreter-speed	new	command exceeded time limit
testdir:checkbce.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:closure.go	interpreted	G6-runtime-one-offs		newfunc allocated unexpectedly
testdir:closure3.go	compiled	G5-backend-scope-review		test/closure3.dir/main.go:16:9: can inline main.func1
testdir:closure3.go	interpreted	G5-backend-scope-review		main.go:15: missing error "can inline main.func1"
testdir:cmp.go	interpreted	excluded:unsafe-reinterpretation		cmp.go:20:43: BASHPP-EUNSAFE-VIEW: target uintptr is not a supported blank-field struct
testdir:codegen/addrcalc.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/alloc.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/append.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/arithmetic.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/atomics.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/bits.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/bmi.go	interpreted	excluded:asmcheck		linux/amd64/v3
testdir:codegen/bool.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/clobberdead.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/clobberdeadreg.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/comparisons.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/condmove.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/constants.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/copy.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/deadstore.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/floats.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/fuse.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/generics.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/ifaces.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue22703.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue25378.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue31618.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue33580.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue38554.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue48054.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue52635.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue54467.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue56440.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue58166.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue59297.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue60324.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue61356.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue63332.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue66585.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue68845.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue69635.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue70409.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue72832.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue74485.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue74788.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue75203.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/issue77375.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/known_bits.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/load_type_from_itab.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/logic.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/mapaccess.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/maps.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/math.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/mathbits.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/memcombine.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/memops.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/moveload.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/multiply.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/race.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/reflect_type.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/regabi_regalloc.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/retpoline.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/rotate.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/schedule.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/select.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/shape_assert.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/shift.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/shortcircuit.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/slices.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/smallintiface.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/spectre.go	interpreted	excluded:asmcheck		linux/amd64/v1
testdir:codegen/stack.go	interpreted	excluded:asmcheck		linux/amd64/v1
