root	mode	group	vs_2026_09_17	first_line
testdir:fixedbugs/issue24651a.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue24651b.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue24801.go	compiled	G1-import-resolution	new	test/fixedbugs/issue24801.dir/main.go:10:2: LOWER-ETYPE: name main not exported by package a
testdir:fixedbugs/issue25507.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue25897a.go	interpreted	G3-native-bridge-callbacks		bash++: task failed: gosource: dependency mutation of interpreter-owned references is unsupported for
testdir:fixedbugs/issue26335.go	interpreted	G3-native-bridge-callbacks		fixedbugs/issue26335.go:28:18: gosource: original callback signature requires value-semantics parameters and supported results
testdir:fixedbugs/issue26411.go	compiled	G1-import-resolution	new	fixedbugs/issue26411.go:75:3: LOWER-EUNDEFINED: undefined: fs
testdir:fixedbugs/issue26411.go	interpreted	G1-import-resolution	new	fixedbugs/issue26411.go:75:59: BASHPP-EEXPR-CONVERT: cannot convert Int to fs.FileMode
testdir:fixedbugs/issue27518b.go	interpreted	excluded:gc-observation		panic: heap object finalized at the wrong time
testdir:fixedbugs/issue27557.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue27695b.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue27695b.go:28:11: fixedbugs/issue27695b.go:28:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/issue27695c.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue27695c.go:29:11: fixedbugs/issue27695c.go:29:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/issue27732a.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue28748.go	interpreted	G6-runtime-one-offs		native dependency panic: reflect: function created by MakeFunc using closure returned zero Value
testdir:fixedbugs/issue29362.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue29362.go:25:11: fixedbugs/issue29362.go:25:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/issue29362b.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue29362b.go:25:11: fixedbugs/issue29362b.go:25:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/issue30041.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue30041.go:27:11: fixedbugs/issue30041.go:27:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/issue30862.go	interpreted	G6-runtime-one-offs		test failed: fail 1
testdir:fixedbugs/issue30898.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue31573.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue32187.go	interpreted	G6-runtime-one-offs	new	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/issue32477.go	interpreted	excluded:gc-observation		panic: heap object finalized at the wrong time
testdir:fixedbugs/issue33555.go	compiled	G1-import-resolution	new	fixedbugs/issue33555.go:67:2: LOWER-EUNDEFINED: undefined: fs
testdir:fixedbugs/issue33555.go	interpreted	G1-import-resolution	new	fixedbugs/issue33555.go:67:46: BASHPP-EEXPR-CONVERT: cannot convert Int to fs.FileMode
testdir:fixedbugs/issue34723.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue35027.go	interpreted	excluded:unsafe-reinterpretation		BASHPP-EUNSAFE-VIEW: target reflect.SliceHeader is not a supported blank-field struct
testdir:fixedbugs/issue35073a.go	interpreted	G4-language-type-gaps		fixedbugs/issue35073a.go:21:6: fixedbugs/issue35073a.go:21:6: BASHPP-EUNSAFE-ADDRESS: uintptr 67137963648768 is not an interpreter-owned live pointer; refusing conversion to unsafe.Pointer
testdir:fixedbugs/issue35073b.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue35518.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue36516.go	interpreted	excluded:gc-observation		gosource: asynchronous or retained original function callbacks are unsupported for testing.AllocsPerRun
testdir:fixedbugs/issue36705.go	interpreted	excluded:cgo		gosource: cgo package "main" function C.CString parameter 0: unsupported C ABI type string
testdir:fixedbugs/issue37513.go	interpreted	G5-backend-scope-review		Bash++ backend unsupported generate phase: compile input "<run>" is not a Go source file
testdir:fixedbugs/issue37837.go	interpreted	excluded:compiler-diagnostic		a.go:7: missing error "can inline F"
testdir:fixedbugs/issue39292.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue39541.go	interpreted	G3-native-bridge-callbacks		bash++: task failed: gosource: dependency mutation of interpreter-owned references is unsupported for
testdir:fixedbugs/issue40917.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue40917.go:16:6: fixedbugs/issue40917.go:16:21: BASHPP-EEXPR-CONVERT: cannot convert String to uintptr
testdir:fixedbugs/issue40954.go	interpreted	excluded:cgo		bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue4099.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue41635.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue42032.go	interpreted	excluded:cgo		bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue42058a.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue42058b.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue42076.go	interpreted	excluded:cgo		bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue42284.go	interpreted	excluded:compiler-diagnostic		a.go:10: missing error "can inline T.M"
testdir:fixedbugs/issue42944.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue45045.go	interpreted	excluded:gc-observation		gosource: original callback signature requires value-semantics parameters and supported results
testdir:fixedbugs/issue4585.go	interpreted	excluded:unsafe-reinterpretation		BASHPP-EUNSAFE-VIEW: target [16]byte is not a supported blank-field struct
testdir:fixedbugs/issue4618.go	interpreted	excluded:gc-observation		gosource: asynchronous or retained original function callbacks are unsupported for testing.AllocsPerRun
testdir:fixedbugs/issue46234.go	compiled	G1-import-resolution	new	test/fixedbugs/issue46234.go:89:2: LOWER-EUNDEFINED: undefined: fs
testdir:fixedbugs/issue46234.go	interpreted	G1-import-resolution	new	test/fixedbugs/issue46234.go:89:49: BASHPP-EEXPR-CONVERT: cannot convert Int to fs.FileMode
testdir:fixedbugs/issue4667.go	interpreted	excluded:gc-observation		gosource: asynchronous or retained original function callbacks are unsupported for testing.AllocsPerRun
testdir:fixedbugs/issue46903.go	interpreted	excluded:cgo		bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue46938.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue46938.go:28:6: fixedbugs/issue46938.go:28:6: BASHPP-EUNSAFE-VIEW: target [10]int64 is not a supported blank-field struct
testdir:fixedbugs/issue47227.go	interpreted	excluded:cgo		gosource: cgo package "main" selector C.int has unsupported kind "unsupported"
testdir:fixedbugs/issue47317.go	interpreted	G5-backend-scope-review		Bash++ backend unsupported generate phase: compile input "<run>" is not a Go source file
testdir:fixedbugs/issue47928.go	interpreted	G6-runtime-one-offs		panic: FAIL
testdir:fixedbugs/issue48097.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue49767.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue49814.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue50372.go	compiled	G5-backend-scope-review		test/fixedbugs/issue50372.go:16:19: expected at most 2 expressions
testdir:fixedbugs/issue50372.go	interpreted	G5-backend-scope-review		test/fixedbugs/issue50372.go:16:19: expected at most 2 expressions
testdir:fixedbugs/issue51733.go	interpreted	excluded:cgo		bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/issue52193.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue52612.go	interpreted	excluded:unsafe-reinterpretation		BASHPP-EUNSAFE-VIEW: target eface contains observable field typ
testdir:fixedbugs/issue52697.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue52788.go	interpreted	G3-native-bridge-callbacks		gosource: asynchronous or retained original function callbacks are unsupported for reflect.ValueOf
testdir:fixedbugs/issue52788a.go	interpreted	G3-native-bridge-callbacks		gosource: asynchronous or retained original function callbacks are unsupported for reflect.ValueOf
testdir:fixedbugs/issue54159.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue54343.go	interpreted	excluded:gc-observation		panic: never GC'd
testdir:fixedbugs/issue5493.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue56103.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue56280.go	interpreted	excluded:compiler-diagnostic		a.go:7: missing error "can inline F"
testdir:fixedbugs/issue57184.go	interpreted	G3-native-bridge-callbacks		gosource: original callback with copied slice references is unsupported
testdir:fixedbugs/issue57823.go	interpreted	excluded:unsafe-reinterpretation		gosource: original callback signature requires value-semantics parameters and supported results
testdir:fixedbugs/issue58300.go	interpreted	G3-native-bridge-callbacks		fixedbugs/issue58300.go:23:35: gosource: asynchronous or retained original function callbacks are unsupported for reflect.ValueOf
testdir:fixedbugs/issue58300b.go	interpreted	G3-native-bridge-callbacks		fixedbugs/issue58300b.go:34:44: gosource: original callback signature requires value-semantics parameters and supported results
testdir:fixedbugs/issue59293.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue59293.go:18:9: BASHPP-EUNSAFE-STRINGDATA: unsafe.StringData of an empty string names no interpreter storage
testdir:fixedbugs/issue5963.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue59680.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue63333.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue67255.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue67329.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue74626.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue75278.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue75365.go	interpreted	excluded:unsafe-reinterpretation		BASHPP-EUNSAFE-VIEW: target [2]uintptr is not a supported blank-field struct
testdir:fixedbugs/issue78081.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue78355.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue79186.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue7921.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue79258.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue80004.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue80004.go:51:11: fixedbugs/issue80004.go:51:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/issue8004.go	interpreted	G4-language-type-gaps		BASHPP-EUNSAFE-VIEW: target reflect.SliceHeader is not a supported blank-field struct
testdir:fixedbugs/issue80188.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue80196.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue8606b.go	interpreted	G4-language-type-gaps		BASHPP-ESELECTOR-ASSIGN: target is not a structured value
testdir:fixedbugs/issue9110.go	interpreted	G6-runtime-one-offs		output should be empty when (optional) expected-output file fixedbugs/issue9110.out is not present. Instead saw
testdir:fixedbugs/issue9604b.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/notinheap.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/notinheap2.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/notinheap3.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fuse.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:gc2.go	interpreted	excluded:gc-observation		too many objects left: 22663
testdir:gcgort.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:heapsampling.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:init1.go	interpreted	excluded:gc-observation		command exceeded time limit
testdir:inline.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:inline_big.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:inline_endian.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:inline_literal.go	interpreted	G3-native-bridge-callbacks		gosource: asynchronous or retained original function callbacks are unsupported for reflect.ValueOf
testdir:inline_math_bits_rotate.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:inline_sync.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:inline_variadic.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:interface/assertinline.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:interface/noeq.go	interpreted	G6-runtime-one-offs	new	interface/noeq.go:26:9: native dependency panic: reflect.Value.Equal: values of type func() are not comparable
testdir:internal/runtime/sys/inlinegcpc.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:intrinsic.go	interpreted	excluded:compiler-diagnostic		main.go:26: missing error "intrinsic substitution for TrailingZeros64"
testdir:intrinsic_atomic.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:ken/chan.go	interpreted	G2-interpreter-speed	new	command exceeded time limit
testdir:ken/cplx3.go	interpreted	excluded:unsafe-reinterpretation		BASHPP-EUNSAFE-VIEW: target complex128 is not a supported blank-field struct
testdir:ken/divconst.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:ken/modconst.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:known_bits.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:linkname.go	interpreted	excluded:compiler-diagnostic		linkname1.go:3: missing error "xs does not escape"
testdir:linkname3.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:linknameasm.go	interpreted	G5-backend-scope-review		Bash++ backend unsupported generate phase: compile input "<run>" is not a Go source file
testdir:linkobj.go	compiled	G1-import-resolution	new	linkobj.go:138:2: LOWER-EUNDEFINED: undefined: fs
testdir:linkobj.go	interpreted	G1-import-resolution	new	linkobj.go:145:46: BASHPP-EEXPR-CONVERT: cannot convert Int to fs.FileMode
testdir:live2.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:live_regabi.go	compiled	G5-backend-scope-review		test/live_regabi.go:123: stack object x string
testdir:live_regabi.go	interpreted	G5-backend-scope-review		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:live_uintptrkeepalive.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:loopbce.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:maymorestack.go	interpreted	G6-runtime-one-offs		panic: mayMoreStack not called
testdir:nilcheck.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:nilptr.go	interpreted	G6-runtime-one-offs		fatal error: runtime: out of memory
testdir:nilptr3.go	compiled	G5-backend-scope-review		test/nilptr3.go:253: generated nil check
testdir:nilptr3.go	interpreted	G5-backend-scope-review		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:nilptr5.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:nosplit.go	compiled	G1-import-resolution	new	nosplit.go:235:2: LOWER-EUNDEFINED: undefined: fs
testdir:nosplit.go	interpreted	G1-import-resolution	new	nosplit.go:235:95: BASHPP-EEXPR-CONVERT: cannot convert Int to fs.FileMode
testdir:nowritebarrier.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:opt_branchlikely.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:peano.go	interpreted	G6-runtime-one-offs		runtime: goroutine stack exceeds 1000000000-byte limit
testdir:phiopt.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:prove.go	compiled	G5-backend-scope-review		test/prove.go:2867: Proved Leq64U
testdir:prove.go	interpreted	G5-backend-scope-review		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:prove_constant_folding.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:prove_invert_loop_with_unused_iterators.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:rangegen.go	compiled	G2-interpreter-speed		command exceeded time limit
testdir:rangegen.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:retjmp.go	interpreted	G5-backend-scope-review		Bash++ backend unsupported generate phase: compile input "<run>" is not a Go source file
testdir:slice3.go	interpreted	G4-language-type-gaps		<run>:47:23: BASHPP-EEXPR-CONVERT: cannot convert String to unsafe.Pointer
testdir:slicecap.go	interpreted	excluded:unsafe-reinterpretation		BASHPP-EUNSAFE-VIEW: target uintptr is not a supported blank-field struct
testdir:sliceopt.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:stack.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:stackobj.go	interpreted	excluded:gc-observation		panic: heap object never collected
testdir:stackobj3.go	interpreted	excluded:gc-observation		panic: bad liveness
testdir:strcopy.go	interpreted	G4-language-type-gaps		strcopy.go:26:5: BASHPP-ESELECTOR-ROOT: subh is not a structured value
testdir:tailcall.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:typeparam/chans.go	interpreted	excluded:gc-observation		command exceeded time limit
testdir:typeparam/chansimp.go	interpreted	excluded:gc-observation		command exceeded time limit
testdir:typeparam/issue44688.go	compiled	G4-language-type-gaps	new	typeparam/issue44688.go:72:2: LOWER-ETYPE: d.C undefined (type D[T] has no field or method C)
testdir:typeparam/issue47272.go	interpreted	G2-interpreter-speed	new	command exceeded time limit
testdir:typeparam/issue50419.go	interpreted	G2-interpreter-speed	new	command exceeded time limit
testdir:typeparam/issue50481b.go	interpreted	G2-interpreter-speed	new	command exceeded time limit
testdir:typeparam/issue54497.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:typeparam/issue54765.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:typeparam/list2.go	interpreted	G6-runtime-one-offs		panic: elt[0](0xed63ba5d2f0).Prev() = 0xed63ba5da70, want 0x0
testdir:typeparam/listimp2.go	interpreted	G6-runtime-one-offs		panic: elt[0](0x3a2e8b0032f0).Prev() = 0x3a2e8b003a70, want 0x0
testdir:typeparam/mdempsky/15.go	interpreted	G6-runtime-one-offs		output should be empty when (optional) expected-output file typeparam/mdempsky/15.out is not present. Instead saw
testdir:typeparam/nested.go	interpreted	G3-native-bridge-callbacks		unregistered bridge type "T[bppScoped_bebe963425e8cea422195e504c92946ac18991bcc6672b67a0fb84dbe78e38fc[int]]"
testdir:typeparam/orderedmap.go	interpreted	G3-native-bridge-callbacks		typeparam/orderedmap.go:251:2: gosource: mixed native/interpreted channel select requires atomic arbitration
testdir:typeparam/orderedmapsimp.go	interpreted	G3-native-bridge-callbacks		test/typeparam/orderedmapsimp.dir/a.go:191:2: gosource: mixed native/interpreted channel select requires atomic arbitration
testdir:typeparam/pragma.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:uintptrescapes.go	interpreted	excluded:unsafe-reinterpretation		command exceeded time limit
testdir:uintptrescapes2.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:uintptrescapes3.go	interpreted	excluded:gc-observation		uintptrescapes3.go:61:3: uintptrescapes3.go:61:8: BASHPP-EEXPR-CONVERT: cannot convert String to unsafe.Pointer
testdir:uintptrkeepalive.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:unsafe_slice_data.go	interpreted	excluded:unsafe-reinterpretation		BASHPP-EUNSAFE-VIEW: target reflect.SliceHeader is not a supported blank-field struct
testdir:unsafe_string_data.go	interpreted	excluded:unsafe-reinterpretation		BASHPP-EUNSAFE-VIEW: target reflect.StringHeader is not a supported blank-field struct
testdir:writebarrier.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
typechecker:go/types/TestCheck/decls2	compiled	G6-runtime-one-offs		check_test.go:288: ../../internal/types/testdata/check/decls2/decls2a.go:89:47: got col = 47; want 6
typechecker:go/types/TestCheck/decls2	interpreted	G6-runtime-one-offs		check_test.go:288: ../../internal/types/testdata/check/decls2/decls2a.go:89:47: got col = 47; want 6
typechecker:go/types/TestCheck/expr3.go	compiled	G6-runtime-one-offs		check_test.go:288: ../../internal/types/testdata/check/expr3.go:22:46: got col = 46; want 8
typechecker:go/types/TestCheck/expr3.go	interpreted	G6-runtime-one-offs		check_test.go:288: ../../internal/types/testdata/check/expr3.go:22:46: got col = 46; want 8
typechecker:go/types/TestCheck/stmt0.go	compiled	G6-runtime-one-offs		check_test.go:288: ../../internal/types/testdata/check/stmt0.go:803:53: got col = 53; want 22
typechecker:go/types/TestCheck/stmt0.go	interpreted	G6-runtime-one-offs		check_test.go:288: ../../internal/types/testdata/check/stmt0.go:803:53: got col = 53; want 22
